Quadrimestre,Codigo,Disciplina,Creditos
Quadrimestre 14 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,24
Quadrimestre 15 (Misto),ESTG008-17,Gerência de  Ativos  ESTG,4
Quadrimestre 15 (Misto),ESTG009-17,Gestão de  Operações  BIS,4
Quadrimestre 15 (Misto),ESTG011-17,Estatística  Aplicada a  Sistemas de  Gestão  ESTG,4
Quadrimestre 15 (Misto),ESTG013-17,Pesquisa operacional,6
Quadrimestre 15 (Misto),ESTG014-17,Planejamento e  Controle da  Produção  ESZG,4
Quadrimestre 15 (Misto),ESTG016-17,Qualidade em  Sistemas  ESMA,4
Quadrimestre 15 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,26
Quadrimestre 16 (Misto),ESTG017-17,Intro. Processos  de Fabricação  Metal- mecânico                  Créd.,24
Quadrimestre 16 (Misto),ESTG019-17,"Tempos,  Métodos e  Arranjos Físicos          Créd.",20
Quadrimestre 16 (Misto),ESTG020-17,Sistemas e processos de produção,4
Quadrimestre 16 (Misto),ESTG021-17,Sistemas  CAD,4
Quadrimestre 16 (Misto),ESTG022-17,Sistemas CAM,4
Quadrimestre 16 (Misto),ESTG023-17,Organização do  Trabalho  ESTO,4
Quadrimestre 16 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,60
Quadrimestre 17 (Misto),ESTG024-17,Sistemas de  Informações  Corporativas  ESGE,4
Quadrimestre 17 (Misto),ESTG902-17,TG I em  Engenharia de  Gestão                  Créd.,12
Quadrimestre 17 (Misto),ESTG903-17,TGII em  Engenharia de  Gestão                  Créd.,14
Quadrimestre 17 (Misto),ESTG904-17,TG III em  Engenharia de  Gestão                  Créd.,22
Quadrimestre 17 (Misto),ESTG905-17,Estágio em  Engenharia de  Gestão  ESTG,4
Quadrimestre 17 (Misto),ESTS001-17,Dinâmica I  ESTI,4
Quadrimestre 17 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,60
Quadrimestre 18 (Misto),ESTS004-17,Desempenho de  Aeronaves  ESAE,4
Quadrimestre 18 (Misto),ESTS005-17,Dinâmica e Controle  de Veículos Espaciais  ESTS,4
Quadrimestre 18 (Misto),ESTS006-17,Laboratório de  Guiagem,4
Quadrimestre 18 (Misto),ESTS007-17,Estabilidade e  Controle de  Aeronaves  ESTS,4
Quadrimestre 18 (Misto),ESTS008-17,Vibrações  Opção Limitada,4
Quadrimestre 18 (Misto),ESTS011-17,Métodos  Computacionais  para Análise  Estrutural  ESMA,4
Quadrimestre 18 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,24
